,WS.pkl,power.pkl
92,"(4.71961492666746, -0.625843635704409)","(6.353833328486962, 0.2714614161460254)"
93,"(5.589028763957034, -0.5333227795447613)","(8.32349579755611, 0.11595761274214715)"
94,"(5.915210944167724, -0.4087789306957248)","(10.047703447576383, -0.030254848246186516)"
95,"(6.015575121777472, -0.1983770261659576)","(11.76835691979092, -0.13894763957062883)"
96,"(5.234259320494077, 0.024801191457876685)","(13.887920332276213, -0.3028755650672427)"
97,"(3.076574319902731, 0.33676167301681476)","(14.384290880933747, -0.41357202749167377)"
98,"(1.0391383794002134, 0.5597652959298337)","(16.690823882777398, -0.612599712804433)"
99,"(0.394133344433434, 0.6293914946260246)","(18.492249845636373, -0.799535495308915)"
100,"(9.089460119249221, -0.5471760244702578)","(1.9910787370008745, 0.6105826674934791)"
101,"(9.86888562429283, -0.48551472223819914)","(2.649742309532413, 0.5751897295362733)"
102,"(10.519503196236164, -0.4027361458107359)","(3.4436909393560553, 0.5328734521234039)"
103,"(10.796097900681376, -0.3004950969927641)","(4.053489766446952, 0.49844756113555483)"
104,"(10.497535118126759, -0.1978310605399305)","(4.508458450065423, 0.4717963675267122)"
105,"(9.431961596944777, -0.04052255717599915)","(4.778273572175633, 0.45014150496851146)"
106,"(7.29549920296639, 0.17378614560223696)","(5.165510849351203, 0.4210619747185631)"
107,"(4.3934262312886885, 0.40842190206837153)","(5.695314565322741, 0.3789793915267004)"
108,"(1.5348212069162568, 0.6165875736175817)","(6.504408811757495, 0.319279850995888)"
109,"(0.6898328878248388, 0.6759773720378772)","(8.591915896336399, 0.12425479176983698)"
110,"(10.440579056973117, -0.6311896079621173)","(2.2613134239638404, 0.6686427063079965)"
111,"(12.006776648951304, -0.5482245690959173)","(3.8558772615328842, 0.6093769312993704)"
112,"(13.168295943405917, -0.47206713387270194)","(5.369401144241488, 0.551827184043267)"
113,"(14.05090716074647, -0.34678720672344626)","(6.873735352752766, 0.4941238271198352)"
114,"(13.948164102868304, -0.21716676209631536)","(7.787082310095144, 0.4566862965258113)"
115,"(12.699712946494591, -0.04929989382527378)","(9.201912276631399, 0.39599048979970397)"
116,"(10.33152032986966, 0.14909124984667255)","(10.604269834945914, 0.3321135283907479)"
117,"(6.072668814535417, 0.4117015292617223)","(11.577946189676915, 0.2802927821382905)"
118,"(2.008879223178376, 0.6325258999268366)","(12.97477434096939, 0.19499403100570611)"
