,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
463,65,2,BA,-35.318897618325636,-423.18726364975157,712.0104925744928,[ 93.15328467  60.78832117 -56.12408759],[ 93.31386861  61.3649635  -53.70072993],[ 91.89208633  59.36690647 -54.08633094],1345
464,66,2,BA,-277.08035797524616,-351.0391025585283,792.3255332925073,[ 48.46969697 129.50757576 -36.70454545],[ 50.48148148 126.94074074 -37.07407407],[ 53.16428571 122.39285714 -37.85      ],1345
465,67,2,BA,-203.89014598599778,-297.6810524131647,681.7852046341955,[41.15441176 74.88235294 25.64705882],[40.65413534 76.14285714 24.16541353],[39.7        77.73846154 24.57692308],1345
466,68,2,BA,-71.71050820852572,-136.59158491681086,625.9630683706915,[  9.65492958 142.85211268  51.72535211],[ 12.28873239 143.84507042  53.94366197],[ 17.79136691 145.56115108  53.84892086],1345
467,69,2,BA,-204.47061794685897,-106.09326064497233,490.76632662967677,[ -21.14788732    9.63380282 -142.07042254],[ -20.92253521   13.79577465 -144.97887324],[ -21.87769784   20.64028777 -145.35971223],1345
468,70,2,BA,7.1058517221726,-68.22313087137252,545.6938328433342,[94.22556391 47.27067669 13.90977444],[92.32846715 46.48905109 13.96350365],[93.97163121 45.80141844 13.21985816],1345
469,71,2,BA,-48.785364220646755,-184.05972571810466,370.11682396664963,[  25.75        -49.67142857 -131.85      ],[  27.42753623  -50.14492754 -132.56521739],[  27.18382353  -54.04411765 -131.00735294],1345
470,72,2,BA,-190.2839764783897,-56.25982884754717,377.0455343598366,[36.48920863 52.18705036  9.87769784],[32.25362319 50.16666667 12.39855072],[34.62142857 48.09285714 13.99285714],1345
471,73,2,BA,-85.59311012432204,-73.73434308279248,438.9091362580139,[  3.43478261  15.11594203 -29.42028986],[ -0.54482759  15.04137931 -32.66206897],[ -4.33098592  16.28873239 -31.97183099],1345
472,74,2,BA,-144.17013410609775,-112.65610535479686,221.2829275915475,[ 57.65517241  11.15172414 -57.35862069],[ 57.08510638   8.73049645 -61.57446809],[ 58.68345324   5.98561151 -59.27338129],1345
473,75,2,BA,-193.7022975254883,-71.59150778622207,340.6594869657612,[131.03597122  86.88489209 -56.28776978],[132.75362319  86.74637681 -59.44927536],[138.70588235  87.26470588 -60.06617647],1345
474,76,2,BA,-170.42537451366806,-183.8879889521128,589.4976498804309,[ 34.37323944  30.3028169  -14.45774648],[ 34.08955224  29.8358209  -14.61940299],[ 33.14285714  29.28571429 -15.29323308],1345
475,77,2,BA,-13.244985687802426,-119.08929563238122,678.9103303812411,[ 31.46478873  71.3028169  -26.28169014],[ 34.78873239  67.42957746 -25.83802817],[ 35.23021583  63.9352518  -25.32374101],1345
476,78,2,BA,-142.39388764082364,-169.3139419660599,455.0573614958619,[33.29496403 25.56834532 13.26618705],[33.26277372 26.31386861 14.5620438 ],[34.94202899 25.31884058 14.42753623],1345
477,79,2,BA,-40.09196078932852,-71.78662039177996,192.83475510312536,[ 42.4351145  -10.3740458   -3.11450382],[42.83564164 -8.9248614  -2.15789474],[ 44.05072464 -10.97826087  -1.9057971 ],1345
478,80,2,BA,-56.17996117309465,-331.1707252731557,347.63288167059454,[ 99.5248227   77.4822695  -87.08510638],[ 99.96268657  80.05223881 -85.82835821],[ 99.8358209   77.81343284 -87.55223881],1345
479,81,2,BA,136.97898542005655,-306.62104206685,448.3345307054198,[  -7.76296296  -38.63703704 -222.18518519],[  -2.97122302  -35.65467626 -217.87769784],[  -3.14388489  -34.74820144 -211.75539568],1345
480,82,2,BA,151.3405268781827,-258.30881265371494,408.25085365916163,[  -8.26573427   16.42657343 -138.        ],[  -8.34751773   14.84397163 -134.73049645],[ -11.4822695    13.28368794 -131.79432624],1345
481,83,2,BA,-34.95039226659504,-116.84984534393622,524.966250466774,[ 38.17164179  41.34328358 -39.76119403],[ 41.30769231  40.29370629 -43.09090909],[ 44.90510949  40.77372263 -44.62773723],1345
