,time,center,coords,radius,order,type,iter,n_cells,speed
143,6,17,"[6, 6, 22]",6,3.1236208899120044,GM,2,15.0,2.354104147304166
144,6,18,"[14, 38, 6]",6,0.9977675188953512,GM,2,12.0,2.0614254879160083
145,6,19,"[23, 6, 6]",6,13.245791218180841,GM,2,9.0,2.0905771896467513
146,6,20,"[8, 59, 6]",6,0.7853242460343139,GM,2,9.0,2.015227678175071
147,7,0,"[53, 12, 35]",12,0.867842014199681,GM,2,9.0,2.578404231144693
148,7,1,"[14, 44, 46]",12,1.709200234185836,GM,2,12.0,2.6432858306874056
149,7,2,"[35, 20, 41]",9,25.878334989380683,GM,2,12.0,2.9910186565224617
150,7,3,"[51, 51, 15]",8,11.303226299579045,GM,2,9.0,1.8674015771684707
151,7,4,"[56, 25, 20]",8,10.431319021213916,GM,2,9.0,2.4996051156486527
152,7,5,"[26, 48, 18]",8,3.993436212059848,GM,2,12.0,1.7449773100044759
153,7,6,"[28, 49, 40]",7,7.438929971422887,GM,2,12.0,2.358972443326669
154,7,7,"[57, 54, 31]",7,2.7079655383125782,GM,2,9.0,2.7904485267148056
155,7,8,"[8, 20, 57]",7,2.4860226729276107,GM,2,12.0,2.186394056407421
156,7,9,"[7, 37, 58]",7,3.5899631017751545,GM,2,6.0,2.213882739184747
157,7,10,"[48, 7, 10]",7,25.391082070302517,GM,2,12.0,2.1879171861332067
158,7,11,"[58, 58, 56]",7,15.259393890482293,GM,2,9.0,2.5232675581437807
159,7,12,"[7, 7, 58]",7,3.0757812364291954,GM,2,12.0,1.999682060323985
160,7,13,"[20, 7, 29]",6,10.461769499307735,GM,2,14.0,2.3506497432585656
161,7,14,"[58, 7, 52]",6,26.303537285454524,GM,2,12.0,2.8038676123192623
162,7,15,"[30, 58, 11]",6,2.7228714442843795,GM,2,12.0,2.2358621391963758
163,7,16,"[41, 24, 29]",6,12.834437532508751,GM,2,9.0,2.183313972973774
164,7,17,"[6, 6, 22]",6,13.301506994005386,GM,2,12.0,2.026227666208427
165,7,18,"[14, 38, 6]",6,1.546892078359079,GM,2,12.0,2.3773388884985933
166,7,19,"[23, 6, 6]",6,5.416669996669995,GM,2,6.0,2.269154179154183
167,7,20,"[8, 59, 6]",6,8.045443527023885,GM,2,9.0,1.9727175889800077
168,8,0,"[53, 12, 35]",12,13.658333225884633,GM,2,15.0,2.3108935297404156
169,8,1,"[14, 44, 46]",12,2.4058023808267706,GM,2,9.0,2.359893410672211
170,8,2,"[35, 20, 41]",9,26.919721437325776,GM,2,12.0,2.3967254814475454
171,8,3,"[51, 51, 15]",8,11.649546657195081,GM,2,12.0,1.767106711343161
172,8,4,"[56, 25, 20]",8,12.310205338965275,GM,2,9.0,2.7493470089057315
173,8,5,"[26, 48, 18]",8,15.298900501821308,GM,2,12.0,2.533102090883272
174,8,6,"[28, 49, 40]",7,10.77417538940827,GM,2,9.0,2.0162387752313924
175,8,7,"[57, 54, 31]",7,0.6972902330843169,GM,2,12.0,2.7538185466130236
176,8,8,"[8, 20, 57]",7,8.462227392391448,GM,2,15.0,2.3189511797624585
177,8,9,"[7, 37, 58]",7,9.978789113521216,GM,2,6.0,2.257712507114398
178,8,10,"[48, 7, 10]",7,21.8308657904184,GM,2,9.0,2.4256517544909335
179,8,11,"[58, 58, 56]",7,5.057137617401395,GM,2,9.0,2.2058475380385656
180,8,12,"[7, 7, 58]",7,7.584792748544899,GM,2,12.0,2.9883557220647403
