,time,iter,type,v_x,v_y,v_z,order,variance,n_cells
5336,162,2,GM,-207.1355087367936,243.45287478685586,160.85120592361812,357.8372977607519,8.76005531650021,1355
5337,163,2,GM,-220.71567638890124,223.06371558793214,149.15274894492325,347.4469362845661,8.821286968685488,1355
5338,164,2,GM,-279.8377595672928,196.86395713617188,196.2485013215502,394.43385195734527,9.17551315465653,1355
5339,165,2,GM,-280.32417587578544,209.14259717850405,215.8176368794604,410.9738701222292,8.86326443496331,1355
5340,166,2,GM,-255.1449363975739,178.89473983091017,285.36289955407113,422.5331359200104,8.844994497014177,1355
5341,167,2,GM,-287.76398660015593,113.2590353319265,286.06131469918114,421.26808190955705,9.188426882291592,1355
5342,168,2,GM,-250.47682755131203,150.84294217530558,293.0292802672834,413.95457895551107,8.797126620754119,1355
5343,169,2,GM,-262.5212119852415,140.08872958741105,270.9729755161353,402.45321760383894,8.61007778792487,1355
5344,170,2,GM,-265.62816632396016,154.67500806452736,323.3229350109985,446.1170263154248,8.825261461607957,1355
5345,171,2,GM,-332.0297317258657,183.2104462410238,294.00459878633177,479.84217662612497,9.266005742421306,1355
5346,172,2,GM,-320.0035643864109,135.52321526442424,273.9360566198291,442.5039957017762,9.205198530169108,1355
5347,173,2,GM,-284.22190794147946,128.91210201540966,309.2228389658805,439.33948961827355,8.968084450310137,1355
5348,174,2,GM,-202.49397263639827,141.81461070469723,293.9622903153229,384.09506751691754,8.722566450422326,1355
5349,175,2,GM,-191.14875245366136,136.01073702844386,313.8865998113816,391.8693196625146,8.494514333291386,1355
5350,176,2,GM,-199.53709075569034,139.42029369084293,251.10742010374895,349.7256143196351,8.558451289512403,1355
5351,177,2,GM,-187.52118478067163,116.74172960358891,218.6714708980756,310.82155388118144,8.75561368798706,1355
5352,178,2,GM,-239.0265437725317,106.56451917826624,254.8029746142086,365.2591425930173,8.370630618896646,1355
5353,179,2,GM,-236.23790330651144,115.59324300574512,292.70885429443166,393.50809161896626,8.577926676675201,1355
5354,180,2,GM,-280.54973405115175,134.59386443086532,296.04184078441995,429.49322825119606,8.895780762313196,1355
5355,181,2,GM,-281.646619270181,186.8663946427785,259.52763056369383,426.1437065346831,8.85652859928443,1355
5356,182,2,GM,-272.3076412987522,194.6795948760531,297.58903993258525,447.89600674575325,8.94100998852144,1355
5357,183,2,GM,-264.83294066726666,163.04685290372956,280.5230774573828,418.8244974812758,8.987100631278564,1355
5358,184,2,GM,-251.20965655946944,170.11658173945315,258.95336047693957,398.87690561593365,8.928221810396392,1355
5359,185,2,GM,-318.7183205413216,198.52438193708537,269.4123146471881,462.14315244925774,8.8432701373359,1355
5360,186,2,GM,-259.1287187590344,184.95315142878894,272.55997277191256,419.09939139369436,8.943520168335164,1355
5361,187,2,GM,-254.48339420315105,228.19817001670214,252.9418249943493,425.22437554260705,9.032012505615139,1355
5362,188,2,GM,-246.49326080429293,183.33223685363592,241.58575213142922,390.8110954471472,8.941137457964388,1355
5363,189,2,GM,-265.53155467223866,158.9081948831401,239.33338624461047,391.20236540566316,8.762186817802009,1355
5364,190,2,GM,-315.0200450606636,157.34298432829843,172.1645394883482,391.963100514057,8.718784362271531,1355
5365,191,2,GM,-290.44772122378214,168.21818644098727,187.7881558577118,384.6058092307277,8.642467344162915,1355
5366,192,2,GM,-246.74780059043056,193.43266833114964,163.50438915771846,353.6019789929944,8.63996655774038,1355
5367,193,2,GM,-191.5209733092674,209.29676717470673,120.34598724069423,308.16972046593065,8.899143033679735,1355
5368,194,2,GM,-168.44412815620595,183.75310193680912,129.8924876767653,281.08839381333826,8.702551365087736,1355
5369,195,2,GM,-116.5550895298748,206.67578534721778,67.98186981964152,246.82281857312353,8.613852486955945,1355
5370,196,2,GM,-168.2828880201018,239.92406873313615,101.4270852007039,310.1131128639349,8.465579317005448,1355
5371,197,2,GM,-223.88351283657514,182.68702919655132,93.37878824456227,303.6741280562592,8.609625201751125,1355
5372,198,2,GM,-159.5530403774976,204.44494974638096,57.99494688982189,265.7410845828264,8.870525884711228,1355
5373,0,1,BA,18.415641107669472,68.76194190978393,65.87938322441265,96.99192557445186,5.286746106460885,1344
5374,1,1,BA,-51.90254795486521,60.48627464549144,62.99186263534848,101.58955981284454,5.469343764267991,1344
5375,2,1,BA,-28.888425291494535,-4.2248372010943225,52.045690142516634,59.67532343949939,5.624879423723409,1344
5376,3,1,BA,-14.303713048241555,66.37867672304998,101.89337079860486,122.44584085697478,5.36146333967454,1344
5377,4,1,BA,65.98752198209084,10.956913574712637,67.90347516671422,95.31678211174157,5.4087356036480845,1344
5378,5,1,BA,-14.36719644634498,42.0463277909943,26.962867502245203,51.974091991868775,5.428650265529516,1344
5379,6,1,BA,-30.271370422270323,-40.12420476913587,-0.8460745722069737,50.26950882771368,5.447965614463812,1344
5380,7,1,BA,-8.402487401104935,-75.35982853859309,45.015089635402134,88.18199275801815,5.232571002330297,1344
5381,8,1,BA,70.39929052033278,-87.07793508937183,85.36595670180647,140.80473517893412,5.50186814842352,1344
5382,9,1,BA,8.557805038528361,-89.07913346574416,124.91445855125227,153.6618039762577,5.399027562350176,1344
5383,10,1,BA,56.4604274182207,-65.65573132640372,166.05564746179866,187.2776894726391,5.669045882022804,1344
5384,11,1,BA,31.822729962778844,-63.28432387971356,117.5038821668941,137.20333128422124,5.736958585299788,1344
5385,12,1,BA,31.11440641843553,-69.6929883788888,95.30042844715679,122.09582539203853,5.427679839017959,1344
5386,13,1,BA,-59.538344154946486,-9.65399471094781,65.81097937721323,89.26981037943256,5.289544800845363,1344
5387,14,1,BA,-27.950834926136004,-114.54080552607672,95.28982920708808,151.59484441743606,5.599866056370646,1344
5388,15,1,BA,-6.377162837752834,-48.00367516105378,46.91842164492786,67.42669593327574,5.2980088793589,1344
5389,16,1,BA,-2.396058553111358,-25.462131397201134,41.198069763166366,48.49064016992348,5.307649272942332,1344
5390,17,1,BA,50.103828420923854,38.59720339969628,78.73907397162735,100.9949479064191,5.230569297026616,1344
5391,18,1,BA,43.178623428764844,15.856891510759466,79.49711974544724,91.84566716731418,5.281087438645357,1344
5392,19,1,BA,-5.449583145516717,10.625481045618878,29.120172105403146,31.473532171635984,5.400435561819696,1344
5393,20,1,BA,-17.18008988829134,-9.111551400599932,36.719139118165884,41.550824721956666,5.574980684034463,1344
