,time,center,order,type,iter
5477,149,7,6.239254790852604,PW,2
5478,149,8,4.4144385026737964,PW,2
5479,149,9,10.653768096907111,PW,2
5480,150,0,6.226061776061766,PW,2
5481,150,1,11.080614982444907,PW,2
5482,150,2,2.2330436519828183,PW,2
5483,150,3,0.0,PW,2
5484,150,4,1.1306949806949884,PW,2
5485,150,5,4.297655271165205,PW,2
5486,150,6,2.1950599168500773,PW,2
5487,150,7,2.185602819028446,PW,2
5488,150,8,7.0918635912229835,PW,2
5489,150,9,7.062994404784883,PW,2
5490,151,0,9.607427548517066,PW,2
5491,151,1,9.713074857227308,PW,2
5492,151,2,4.901017214397498,PW,2
5493,151,3,6.685673758865249,PW,2
5494,151,4,0.5234765234765284,PW,2
5495,151,5,3.9046667419213605,PW,2
5496,151,6,2.244093706571366,PW,2
5497,151,7,3.2590045018979694,PW,2
5498,151,8,4.140447427293076,PW,2
5499,151,9,2.2918784029037944,PW,2
5500,152,0,10.142359221270617,PW,2
5501,152,1,0.7522227628610771,PW,2
5502,152,2,3.784277864718689,PW,2
5503,152,3,13.030651726471355,PW,2
5504,152,4,5.241776162519809,PW,2
5505,152,5,5.430930930930913,PW,2
5506,152,6,12.498465062455963,PW,2
5507,152,7,8.404884845462355,PW,2
5508,152,8,11.380854323047572,PW,2
5509,152,9,9.789097393932241,PW,2
5510,153,0,7.875365777820495,PW,2
5511,153,1,0.0800992121388937,PW,2
5512,153,2,0.26075786077447916,PW,2
5513,153,3,0.0,PW,2
5514,153,4,5.519437245464637,PW,2
5515,153,5,4.133624538292153,PW,2
5516,153,6,5.121048634656489,PW,2
5517,153,7,13.330460341942576,PW,2
5518,153,8,8.721417019743587,PW,2
5519,153,9,6.658905491512465,PW,2
5520,154,0,11.224329101527502,PW,2
5521,154,1,0.41274770777876313,PW,2
5522,154,2,8.79339032910461,PW,2
5523,154,3,7.991445916114781,PW,2
5524,154,4,2.385138416707136,PW,2
5525,154,5,1.0004926108374264,PW,2
5526,154,6,0.0,PW,2
5527,154,7,8.777829206202277,PW,2
5528,154,8,4.462737020751348,PW,2
5529,154,9,8.620741909004748,PW,2
5530,155,0,6.81696458434871,PW,2
5531,155,1,0.28924071599101353,PW,2
5532,155,2,8.536851572456463,PW,2
5533,155,3,5.708105491000232,PW,2
5534,155,4,4.782703962703948,PW,2
5535,155,5,5.407596371882093,PW,2
5536,155,6,1.6732137732137944,PW,2
5537,155,7,10.19194093815139,PW,2
5538,155,8,8.071583709985493,PW,2
5539,155,9,9.255843174303273,PW,2
5540,156,0,2.1645162349387803,PW,2
5541,156,1,9.03058643496163,PW,2
5542,156,2,4.351511064388333,PW,2
5543,156,3,0.07498197548665786,PW,2
5544,156,4,1.4842896829198082,PW,2
5545,156,5,8.525276277145366,PW,2
5546,156,6,10.322875450660916,PW,2
5547,156,7,7.80177276390009,PW,2
5548,156,8,9.205105363984684,PW,2
5549,156,9,6.9136686429746845,PW,2
5550,157,0,0.6626122313223561,PW,2
5551,157,1,1.492312119325856,PW,2
5552,157,2,7.526043409839314,PW,2
5553,157,3,4.66701440251698,PW,2
5554,157,4,6.326540815410681,PW,2
5555,157,5,4.653061224489797,PW,2
5556,157,6,2.0068027210884285,PW,2
5557,157,7,15.6192038280595,PW,2
5558,157,8,6.323039299028547,PW,2
5559,157,9,0.3933394486112327,PW,2
5560,158,0,7.677198747198748,PW,2
5561,158,1,14.12641455860842,PW,2
5562,158,2,2.4830635702556663,PW,2
5563,158,3,14.01977277974482,PW,2
5564,158,4,2.0353012529472565,PW,2
5565,158,5,2.847816091954023,PW,2
5566,158,6,3.0991433004153244,PW,2
5567,158,7,2.8618793050272426,PW,2
5568,158,8,4.142410015649453,PW,2
5569,158,9,2.2867395873626952,PW,2
5570,159,0,6.25751616537608,PW,2
5571,159,1,4.963013698630132,PW,2
5572,159,2,7.127209426683031,PW,2
5573,159,3,24.661921572325806,PW,2
5574,159,4,7.83767707425681,PW,2
5575,159,5,10.60366358834235,PW,2
5576,159,6,14.18973337165119,PW,2
5577,159,7,11.799471080669726,PW,2
5578,159,8,22.12639311553209,PW,2
5579,159,9,4.645467836257307,PW,2
5580,160,0,0.6510420012568607,PW,2
5581,160,1,3.9000000000000057,PW,2
5582,160,2,5.693531423368221,PW,2
5583,160,3,8.32703003337041,PW,2
5584,160,4,8.205464938953197,PW,2
5585,160,5,6.729571484515915,PW,2
5586,160,6,2.2555257270693456,PW,2
5587,160,7,9.253190690690687,PW,2
5588,160,8,0.00659903476805912,PW,2
5589,160,9,1.9823867329400748,PW,2
5590,161,0,3.152183908045977,PW,2
5591,161,1,0.7973484848484915,PW,2
5592,161,2,5.005385487528354,PW,2
5593,161,3,1.4388639495088675,PW,2
5594,161,4,2.361677383282071,PW,2
5595,161,5,7.009910133940984,PW,2
5596,161,6,12.839778064710153,PW,2
5597,161,7,0.48599365980054987,PW,2
5598,161,8,5.148496955859963,PW,2
5599,161,9,3.419362745098038,PW,2
5600,162,0,0.35209118419548524,PW,2
5601,162,1,3.4909825657547273,PW,2
5602,162,2,5.018862107265505,PW,2
5603,162,3,1.9426662618236037,PW,2
5604,162,4,2.1816561107201426,PW,2
5605,162,5,3.497478822105684,PW,2
5606,162,6,14.289964290838178,PW,2
5607,162,7,11.78859262231635,PW,2
5608,162,8,20.6923914421571,PW,2
5609,162,9,4.067050554523208,PW,2
5610,163,0,9.041013616356073,PW,2
5611,163,1,3.6000155476665654,PW,2
5612,163,2,5.5787257792070015,PW,2
5613,163,3,0.35535517114464454,PW,2
5614,163,4,2.1541641387531882,PW,2
5615,163,5,8.996305284487889,PW,2
5616,163,6,11.981680293601471,PW,2
5617,163,7,1.3494471609180372,PW,2
5618,163,8,20.191436599491567,PW,2
5619,163,9,11.473471584555359,PW,2
5620,164,0,4.560152828254601,PW,2
5621,164,1,0.08915248553943655,PW,2
5622,164,2,1.0309747087240666,PW,2
5623,164,3,6.585417265497746,PW,2
5624,164,4,5.60749697139129,PW,2
5625,164,5,6.322295805739515,PW,2
5626,164,6,6.2716846775315105,PW,2
5627,164,7,5.355855988089878,PW,2
5628,164,8,9.919660298958508,PW,2
5629,164,9,10.885474644403212,PW,2
5630,165,0,4.495372084413166,PW,2
5631,165,1,9.744624577213912,PW,2
5632,165,2,0.0,PW,2
5633,165,3,3.6011096475145195,PW,2
5634,165,4,2.2655034776785126,PW,2
5635,165,5,7.260185185185186,PW,2
5636,165,6,10.972691041614727,PW,2
5637,165,7,15.067202101442653,PW,2
5638,165,8,8.732607638309272,PW,2
5639,165,9,10.083616155817658,PW,2
5640,166,0,9.423687436466496,PW,2
5641,166,1,5.005093095782755,PW,2
5642,166,2,6.736674174174176,PW,2
5643,166,3,3.7095831621238915,PW,2
5644,166,4,0.37025440313112057,PW,2
5645,166,5,8.03302266345029,PW,2
5646,166,6,5.531023981728203,PW,2
5647,166,7,0.5391054261765689,PW,2
5648,166,8,15.332071850440503,PW,2
5649,166,9,0.6658125879889383,PW,2
5650,167,0,5.680224341989046,PW,2
5651,167,1,8.965115195775955,PW,2
5652,167,2,8.614155251141561,PW,2
5653,167,3,14.909003341914634,PW,2
5654,167,4,0.589870405227078,PW,2
5655,167,5,1.8456375838926178,PW,2
5656,167,6,4.705199807414547,PW,2
5657,167,7,1.3131967584022277,PW,2
5658,167,8,15.197485034785878,PW,2
5659,167,9,8.746734387630484,PW,2
5660,168,0,2.5836471453923764,PW,2
5661,168,1,5.03769804287046,PW,2
5662,168,2,6.4295488971840165,PW,2
5663,168,3,10.082098456470735,PW,2
5664,168,4,2.240270570793168,PW,2
5665,168,5,1.3226070226070235,PW,2
5666,168,6,6.301833999393879,PW,2
5667,168,7,5.048935091277892,PW,2
5668,168,8,10.729124881188753,PW,2
5669,168,9,4.2676125244618355,PW,2
5670,169,0,3.3042404473438935,PW,2
5671,169,1,0.8663845467483817,PW,2
5672,169,2,1.3542615103017894,PW,2
5673,169,3,3.1275843350736565,PW,2
5674,169,4,6.998215962441307,PW,2
5675,169,5,3.802091503267981,PW,2
5676,169,6,7.075223713646537,PW,2
5677,169,7,6.4275197136155064,PW,2
5678,169,8,14.359211317601732,PW,2
5679,169,9,0.0,PW,2
5680,170,0,3.2924929948878088,PW,2
5681,170,1,0.8432454030296341,PW,2
5682,170,2,3.0584921373634444,PW,2
5683,170,3,5.995553993959714,PW,2
5684,170,4,16.37505347712246,PW,2
5685,170,5,3.492548830479869,PW,2
5686,170,6,3.6319444444444358,PW,2
5687,170,7,5.253774464119292,PW,2
5688,170,8,12.177053251067665,PW,2
5689,170,9,11.379429042223304,PW,2
5690,171,0,3.30621661000486,PW,2
5691,171,1,2.2062601338917105,PW,2
5692,171,2,13.555632542625876,PW,2
5693,171,3,0.2448523939469105,PW,2
5694,171,4,1.9874441323884007,PW,2
5695,171,5,7.300305338895946,PW,2
5696,171,6,1.9196712637989846,PW,2
5697,171,7,1.4390793306145433,PW,2
5698,171,8,17.770019494590667,PW,2
5699,171,9,5.143441411254555,PW,2
5700,172,0,7.120399325247931,PW,2
5701,172,1,5.685475210309647,PW,2
5702,172,2,6.0481303221029314,PW,2
