,time,center,coords,radius,order,type,iter,n_cells,speed
5697,72,6,"[28, 49, 40]",7,16.009338274305414,GM,0,15.0,2.429655107662363
5698,72,7,"[57, 54, 31]",7,5.148620882663401,GM,0,9.0,2.2525299162129633
5699,72,8,"[8, 20, 57]",7,0.986985719188084,GM,0,6.0,3.610016787227451
5700,72,9,"[7, 37, 58]",7,19.73140146719242,GM,0,12.0,2.9310797463937486
5701,72,10,"[48, 7, 10]",7,14.16738309756618,GM,0,9.0,2.02042209259559
5702,72,11,"[58, 58, 56]",7,7.291273177091313,GM,0,6.0,3.6641470268719587
5703,72,12,"[7, 7, 58]",7,44.758777941147045,GM,0,15.0,3.847438193270266
5704,72,13,"[20, 7, 29]",6,14.158362610882662,GM,0,18.0,2.6420105452508085
5705,72,14,"[58, 7, 52]",6,16.776816425750688,GM,0,9.0,4.453430730677256
5706,72,15,"[30, 58, 11]",6,12.193997018315713,GM,0,9.0,1.8594097506550105
5707,72,16,"[41, 24, 29]",6,15.599358816429032,GM,0,9.0,2.538437209878266
5708,72,17,"[6, 6, 22]",6,22.61926362828178,GM,0,12.0,2.9033973027692763
5709,72,18,"[14, 38, 6]",6,5.624867935774013,GM,0,9.0,2.2053200823799535
5710,72,19,"[23, 6, 6]",6,0.33863604855162777,GM,0,6.0,2.670994339480424
5711,72,20,"[8, 59, 6]",6,13.633209702409978,GM,0,12.0,3.0559992645570273
5712,73,0,"[53, 12, 35]",12,14.934331756142917,GM,0,9.0,3.55198444140595
5713,73,1,"[14, 44, 46]",12,15.461575895167435,GM,0,15.0,2.7993453892735114
5714,73,2,"[35, 20, 41]",9,1.7011823604171212,GM,0,6.0,2.657322312960813
5715,73,3,"[51, 51, 15]",8,22.587930364654525,GM,0,9.0,2.8358130375371737
5716,73,4,"[56, 25, 20]",8,1.7758378546217202,GM,0,9.0,2.3084422798333932
5717,73,5,"[26, 48, 18]",8,4.998063633201824,GM,0,12.0,2.2071729628047323
5718,73,6,"[28, 49, 40]",7,6.092848665668619,GM,0,9.0,2.728136318337098
5719,73,7,"[57, 54, 31]",7,9.604123817359081,GM,0,6.0,3.0179367201426026
