,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
3492,109,4,WS,2235.7099661923426,2515.002837320108,-135.0450292157857,[-309.08333333 -303.67361111  109.55555556],[-311.21276596 -302.33333333  106.53191489],[-311.53146853 -298.71328671  105.72727273],1371
3493,110,4,WS,2214.307786797068,2475.793767119611,-118.54900623626739,[-236.8041958  -372.52447552   25.27272727],[-239.30656934 -372.95620438   25.59124088],[-236.42758621 -374.51724138   27.97931034],1371
3494,111,4,WS,2196.8246815005623,2514.793483895821,-78.94649508413171,[-285.62585034 -314.10884354   45.97278912],[-284.73793103 -310.95172414   45.37241379],[-283.29861111 -308.78472222   46.34722222],1371
3495,112,4,WS,1991.0805242062545,2494.475613093671,-58.53227785217267,[-254.99310345 -308.05517241   -5.51724138],[-256.31724138 -307.9862069    -8.73103448],[-255.51388889 -307.21527778  -12.13194444],1371
3496,113,4,WS,2065.775120101025,2540.6355427499857,-232.32731267469427,[-185.5        -340.85         -4.26428571],[-187.01408451 -343.43661972   -2.00704225],[-1.89940299e+02 -3.42089552e+02 -2.98507463e-01],1371
3497,114,4,WS,2144.0770540490125,2443.8138089027148,-196.03509523480366,[-263.13475177 -275.76595745   -7.70921986],[-262.18181818 -278.45454545   -7.67832168],[-262.3862069  -281.55862069   -6.39310345],1371
3498,115,4,WS,2139.712741921624,2454.501772821555,-107.69133193627445,[-254.82517483 -343.23776224  -15.92307692],[-257.38732394 -342.68309859  -16.04929577],[-258.52739726 -339.38356164  -15.66438356],1371
3499,116,4,WS,2089.146073946599,2446.623862504923,-128.13063935027802,[-189.41958042 -299.67832168    1.27272727],[-188.32638889 -298.40277778   -1.22222222],[-188.36619718 -300.93661972   -4.92957746],1371
3500,117,4,WS,2030.0020905645356,2415.352761862269,-203.2965742985967,[-226.50704225 -336.05633803    6.88732394],[-227.5035461  -337.81560284    9.34042553],[-228.39285714 -339.77142857   12.18571429],1371
3501,118,4,WS,2030.0402640955647,2414.508426660376,-303.17707324346765,[-302.59859155 -359.53521127   10.51408451],[-304.16551724 -356.63448276   10.73793103],[-304.88028169 -353.52112676   12.71126761],1371
3502,119,4,WS,2090.1916292073706,2334.91274953475,-268.00300398885645,[-291.40410959 -287.32876712   20.95205479],[-293.65517241 -288.32413793   23.17241379],[-292.97142857 -286.72857143   25.06428571],1371
3503,120,4,WS,2131.3488414563567,2439.8056551243244,-237.4302371386887,[-194.93055556 -329.30261567   -2.67687587],[-198.90972222 -329.95833333   -4.90277778],[-201.39285714 -330.22857143   -6.48571429],1371
3504,121,4,WS,2083.3163742528495,2511.5276276902146,-73.80900940715514,[-232.50344828 -271.0137931    16.72413793],[-230.02739726 -271.86986301   15.52739726],[-228.36054422 -270.5170068    14.34693878],1371
3505,122,4,WS,2082.496887764365,2508.6537181313793,-17.35644894740067,[-238.29655172 -344.44137931   83.17931034],[-240.58450704 -342.40140845   82.42957746],[-243.75524476 -342.44755245   80.47552448],1371
3506,123,4,WS,2128.042927086613,2512.583304723904,-163.71166241103322,[-199.2027972  -359.06293706   64.70629371],[-198.8125     -361.6875       64.73611111],[-198.07692308 -363.53846154   66.48951049],1371
3507,124,4,WS,2094.8169260817986,2645.370211959779,-145.9447820247759,[-198.34722222 -279.0625      139.68055556],[-199.94326241 -280.80851064  139.74468085],[-202.18881119 -283.39160839  137.74825175],1371
3508,125,4,WS,2003.029644076803,2800.273551886657,-132.5552639221167,[-204.4375     -265.48611111  -29.88888889],[-201.90344828 -266.49655172  -30.59310345],[-200.29285714 -263.73571429  -31.87142857],1371
3509,126,4,WS,1927.5556647120852,2931.8195597178556,-129.35528378999098,[-198.75183434 -318.62142857    0.9297538 ],[-201.03496503 -316.6013986     2.93706294],[-202.95714286 -315.64285714    5.10714286],1371
3510,127,4,WS,2031.7771283495915,2863.1279643663793,-244.864291958375,[-296.80821918 -211.6369863    40.30821918],[-294.45070423 -213.50704225   41.13380282],[-292.15107914 -213.50359712   39.84172662],1371
3511,128,4,WS,2038.2334086411097,2781.3169278130636,-252.82141647745038,[-260.26056338 -315.88028169 -112.97887324],[-260.625  -315.8125 -110.375 ],[-260.22535211 -317.67605634 -107.76056338],1371
3512,129,4,WS,2161.5185494015286,2914.1994550680743,-310.9424843408838,[-191.01408451 -294.           54.07746479],[-190.57638889 -296.67361111   52.39583333],[-190.31468531 -297.76923077   49.18181818],1371
3513,130,4,WS,2002.906755074121,2919.040949277366,-366.4795563864808,[-280.12413793 -270.06896552   53.55172414],[-279.80689655 -273.70344828   53.96551724],[-277.08163265 -274.61904762   54.01360544],1371
3514,131,4,WS,2132.378639181985,2895.9514994703195,-273.223117254049,[-198.22758621 -360.84827586   14.92413793],[-195.4  -361.75   16.65],[-193.9047619  -363.57823129   18.63945578],1371
3515,132,4,WS,2011.9447140080833,2848.957174530731,-255.68495909055855,[-164.09090909 -342.54545455    1.59440559],[-163.63235294 -342.80882353   -0.44117647],[-163.84507042 -340.22535211    0.71830986],1371
3516,133,4,WS,1972.0079390700107,2706.3004088590915,-384.55278098639656,[-167.79020979 -323.58741259   58.65034965],[-170.82876712 -322.28767123   56.65068493],[-171.37931034 -320.35172414   54.95862069],1371
3517,134,4,WS,1925.9279201293607,2644.5090799315767,-300.0355174320129,[-250.63013699 -313.23972603   -7.17123288],[-249.11034483 -310.88275862   -5.76551724],[-248.93478261 -310.47101449   -7.24637681],1371
