,time,center,coords,radius,order,type,iter
147,13,4,"[47, 41, 30]",7,0.0,ER,1
148,13,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
149,13,6,"[53, 22, 22]",6,0.1111111111111111,ER,1
150,13,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
151,13,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
152,13,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
153,13,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
154,14,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
155,14,1,"[40, 32, 56]",7,0.5555555555555556,ER,1
156,14,2,"[13, 58, 48]",7,0.6666666666666666,ER,1
157,14,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
158,14,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
159,14,5,"[48, 24, 7]",6,0.5,ER,1
160,14,6,"[53, 22, 22]",6,0.6666666666666666,ER,1
161,14,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
162,14,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
163,14,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
164,14,10,"[23, 59, 6]",6,0.0,ER,1
165,15,0,"[51, 32, 48]",7,0.5,ER,1
166,15,1,"[40, 32, 56]",7,0.0,ER,1
167,15,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
168,15,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
169,15,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
170,15,5,"[48, 24, 7]",6,0.6,ER,1
171,15,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
172,15,7,"[28, 38, 51]",6,0.4666666666666667,ER,1
173,15,8,"[48, 6, 55]",6,0.2,ER,1
174,15,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
175,15,10,"[23, 59, 6]",6,0.1111111111111111,ER,1
176,16,0,"[51, 32, 48]",7,0.1111111111111111,ER,1
177,16,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
178,16,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
179,16,3,"[25, 13, 7]",7,0.06666666666666667,ER,1
180,16,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
181,16,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
182,16,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
183,16,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
184,16,8,"[48, 6, 55]",6,0.0,ER,1
185,16,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
186,16,10,"[23, 59, 6]",6,0.0,ER,1
187,17,0,"[51, 32, 48]",7,0.1111111111111111,ER,1
188,17,1,"[40, 32, 56]",7,0.2,ER,1
189,17,2,"[13, 58, 48]",7,0.5555555555555556,ER,1
190,17,3,"[25, 13, 7]",7,0.06666666666666667,ER,1
191,17,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
192,17,5,"[48, 24, 7]",6,0.0,ER,1
193,17,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
194,17,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
195,17,8,"[48, 6, 55]",6,0.0,ER,1
196,17,9,"[59, 45, 44]",6,0.6666666666666666,ER,1
197,17,10,"[23, 59, 6]",6,0.0,ER,1
198,18,0,"[51, 32, 48]",7,0.6666666666666666,ER,1
199,18,1,"[40, 32, 56]",7,0.6,ER,1
200,18,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
201,18,3,"[25, 13, 7]",7,0.0,ER,1
202,18,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
203,18,5,"[48, 24, 7]",6,0.1111111111111111,ER,1
204,18,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
205,18,7,"[28, 38, 51]",6,0.0,ER,1
206,18,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
207,18,9,"[59, 45, 44]",6,0.0,ER,1
208,18,10,"[23, 59, 6]",6,0.0,ER,1
209,19,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
210,19,1,"[40, 32, 56]",7,0.06666666666666667,ER,1
211,19,2,"[13, 58, 48]",7,0.6666666666666666,ER,1
212,19,3,"[25, 13, 7]",7,0.06666666666666667,ER,1
213,19,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
214,19,5,"[48, 24, 7]",6,0.5555555555555556,ER,1
215,19,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
216,19,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
217,19,8,"[48, 6, 55]",6,0.0,ER,1
218,19,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
219,19,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
220,20,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
221,20,1,"[40, 32, 56]",7,0.5,ER,1
222,20,2,"[13, 58, 48]",7,0.5555555555555556,ER,1
223,20,3,"[25, 13, 7]",7,0.5555555555555556,ER,1
224,20,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
225,20,5,"[48, 24, 7]",6,0.4666666666666667,ER,1
226,20,6,"[53, 22, 22]",6,0.8333333333333334,ER,1
227,20,7,"[28, 38, 51]",6,0.4666666666666667,ER,1
228,20,8,"[48, 6, 55]",6,0.0,ER,1
229,20,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
230,20,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
231,21,0,"[51, 32, 48]",7,0.06666666666666667,ER,1
232,21,1,"[40, 32, 56]",7,0.5555555555555556,ER,1
233,21,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
234,21,3,"[25, 13, 7]",7,0.7777777777777778,ER,1
235,21,4,"[47, 41, 30]",7,0.5555555555555556,ER,1
236,21,5,"[48, 24, 7]",6,0.1111111111111111,ER,1
237,21,6,"[53, 22, 22]",6,0.5555555555555556,ER,1
238,21,7,"[28, 38, 51]",6,0.06666666666666667,ER,1
239,21,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
240,21,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
241,21,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
242,22,0,"[51, 32, 48]",7,0.6666666666666666,ER,1
243,22,1,"[40, 32, 56]",7,0.16666666666666666,ER,1
244,22,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
245,22,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
246,22,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
247,22,5,"[48, 24, 7]",6,0.0,ER,1
248,22,6,"[53, 22, 22]",6,0.0,ER,1
249,22,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
250,22,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
251,22,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
252,22,10,"[23, 59, 6]",6,0.16666666666666666,ER,1
253,23,0,"[51, 32, 48]",7,0.5,ER,1
254,23,1,"[40, 32, 56]",7,0.5,ER,1
255,23,2,"[13, 58, 48]",7,0.1111111111111111,ER,1
256,23,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
