,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
1855,64,1,BA,161.67185026223677,215.51663424795828,-669.2140467946062,[-71.27272727  -2.56643357  49.43356643],[-72.88571429  -2.29285714  48.35714286],[-73.90647482  -5.79856115  47.94244604],1344
1856,65,1,BA,89.12917148388695,165.81433777716825,-656.9624769533707,[148.36296296  69.6        120.25925926],[145.55629139  74.17880795 118.15231788],[148.59333333  78.21333333 117.99333333],1344
1857,66,1,BA,-32.95546831807407,92.05131012969342,-646.8938819515142,[ 23.09722222 -83.75        40.71527778],[ 24.12142857 -81.15        44.55714286],[ 26.85714286 -79.12857143  44.02857143],1344
1858,67,1,BA,56.430996080631346,83.42808017183177,-581.4342257120552,[-46.10714286   8.03571429  18.02142857],[-48.38513514  10.9527027   18.75675676],[-51.51428571  13.44285714  17.29285714],1344
1859,68,1,BA,155.86831748215775,-84.96377608440437,-663.2726817098983,[2.14854111e-01 6.28860371e+01 2.23619082e+02],[  2.39259259  58.21481481 222.36296296],[  5.27702703  54.35810811 219.2972973 ],1344
1860,69,1,BA,217.11866555766275,28.776726635152116,-593.5480973561442,[-36.856 -12.96  112.048],[-41.09558824 -11.64705882 108.60294118],[-44.74637681 -11.91304348 107.26811594],1344
1861,70,1,BA,241.98529209913417,-130.61930160465474,-631.2124129364855,[-9.44525547 24.89051095 32.00729927],[-9.96052632 28.64473684 30.26315789],[-9.95555556 31.14814815 29.03703704],1344
1862,71,1,BA,375.65080724139165,-56.39834053306454,-581.762876204967,[ 39.47552448 115.83216783 156.4965035 ],[ 36.39735099 119.68211921 159.        ],[ 38.90410959 117.65068493 162.71232877],1344
1863,72,1,BA,264.1795562472085,-136.57743233364346,-646.082921848685,[-84.51282051 -68.57692308  94.40384615],[-86.16312057 -68.91489362  91.4964539 ],[-64.5625    -90.1875     89.1953125],1344
1864,73,1,BA,139.02106898996857,4.48011152274538,-705.6651435920649,[ 55.81506849   7.21917808 139.74657534],[ 57.08783784   9.67567568 142.83108108],[ 57.3006993   13.81818182 140.85314685],1344
1865,74,1,BA,179.78897985200302,161.49202543388677,-618.0675827622224,[148.6993007   67.14685315 107.92307692],[148.22058824  68.55882353 105.27941176],[149.6056338   73.28169014 104.23943662],1344
1866,75,1,BA,343.73753455045875,73.68815145830017,-729.3041785986231,[ 89.75342466  18.85616438 111.14383562],[ 86.16326531  20.59183673 108.07482993],[ 83.30534351  22.12977099 106.98473282],1344
1867,76,1,BA,218.31497890886357,32.358999775021985,-697.03998417723,[-40.62585034 101.85714286  45.08843537],[-39.          98.18367347  46.59863946],[-39.64661654  95.10526316  46.12030075],1344
1868,77,1,BA,228.4625846973289,127.67808815230595,-710.3453237108175,[24.58450704 77.40140845 -4.48591549],[24.29452055 80.53424658 -8.5890411 ],[ 28.45205479  82.89041096 -11.73972603],1344
1869,78,1,BA,92.93100959714432,250.28364858417945,-763.5230624743189,[  4.99295775 -26.18309859  67.28169014],[  2.48251748 -26.54545455  68.72727273],[  2.65277778 -25.20833333  73.16666667],1344
1870,79,1,BA,271.03831236488605,62.032869834062375,-709.5346937456308,[  5.6462585   44.17006803 105.72108844],[  4.67142857  46.57142857 103.69285714],[  6.32167832  50.35664336 101.13986014],1344
1871,80,1,BA,318.21993464492516,108.01109948028076,-584.0122135634258,[-80.65734266  59.95104895 -26.48251748],[-77.91780822  63.79452055 -26.23287671],[-75.48611111  67.75       -27.52777778],1344
1872,81,1,BA,162.4103825160615,-4.331812978897043,-715.4962023038813,[-32.4469697   31.56818182 -13.70454545],[-38.59060403  31.97986577  -9.37583893],[-41.54794521  32.15753425  -5.95890411],1344
1873,82,1,BA,370.6064161185411,317.76014938387783,-604.5410642522237,[106.64705882  64.23529412 119.77205882],[112.05555556  63.91666667 116.65277778],[113.71328671  62.2027972  114.66433566],1344
1874,83,1,BA,364.193756951876,195.7782256441166,-592.7584422924857,[ 52.60869565   0.88405797 132.0942029 ],[ 53.0456444   -0.45619545 131.13970588],[ 53.07760071  -4.7964497  129.77304965],1344
1875,84,1,BA,351.15634888162003,273.4492255277903,-580.8133109527039,[-31.69333333  45.15333333  97.2       ],[-30.35        42.52142857  96.27857143],[-27.73722628  40.22627737  91.0729927 ],1344
