,time,center,coords,length,order,type,iter,n_cells,speed
17260,25,19,"[48.5, 14.5, 7.5]",19.87460691435179,5.985860715475511,GM,1,12.0,2.1116440017030045
17261,25,20,"[38.5, 19.5, 6.5]",19.87460691435179,7.479787404979234,GM,1,9.0,1.4088011464396777
17262,26,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.1480684055118076,GM,1,3.0,0.38268946850393587
17263,26,1,"[46.0, 57.0, 29.5]",20.322401432901575,1.022692720507969,GM,1,15.0,1.866369903789176
17264,26,2,"[48.5, 13.0, 53.0]",20.223748416156685,4.7222388492861995,GM,1,6.0,1.2429221611555548
17265,26,3,"[16.0, 17.0, 11.0]",20.199009876724155,5.711756299256294,GM,1,6.0,1.915377446627448
17266,26,4,"[40.0, 6.5, 29.5]",20.149441679609886,3.763697630005737,GM,1,9.0,2.2846925933908278
17267,26,5,"[46.0, 42.5, 3.0]",20.12461179749811,2.1060109109208582,GM,1,9.0,1.9581625829121836
17268,26,6,"[41.5, 31.0, 48.0]",20.12461179749811,6.8488238263239225,GM,1,12.0,1.73335955849074
17269,26,7,"[40.0, 29.0, 59.0]",20.09975124224178,3.593019282528161,GM,1,6.0,2.5691031219436646
17270,26,8,"[4.0, 49.5, 45.5]",20.049937655763422,5.1381984754709435,GM,1,15.0,1.8843738568282637
17271,26,9,"[41.5, 17.0, 10.5]",20.049937655763422,13.411522841398813,GM,1,15.0,2.0484865441076945
17272,26,10,"[26.5, 27.5, 14.0]",20.049937655763422,2.617351771779596,GM,1,9.0,1.130829422534289
17273,26,11,"[34.0, 54.0, 29.5]",20.024984394500787,0.46624772496063116,GM,1,12.0,2.2843308970249634
17274,26,12,"[47.5, 6.0, 19.0]",20.024984394500787,14.315116149834829,GM,1,9.0,2.64884972231519
17275,26,13,"[23.0, 8.0, 54.0]",20.0,4.230060414455025,GM,1,15.0,2.169366662035707
17276,26,14,"[42.5, 27.5, 12.0]",19.949937343260004,4.186889711172796,GM,1,6.0,1.1203189776270126
17277,26,15,"[42.0, 20.5, 21.5]",19.949937343260004,4.606696207376814,GM,1,12.0,2.1443581027471645
17278,26,16,"[3.5, 26.0, 35.5]",19.949937343260004,5.368939221380838,GM,1,9.0,1.8452933918070404
17279,26,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.6048872180451212,GM,1,3.0,0.39135338345865495
17280,26,18,"[24.0, 39.0, 19.0]",19.8997487421324,11.227491592324789,GM,1,12.0,2.029621484591544
17281,26,19,"[48.5, 14.5, 7.5]",19.87460691435179,7.871181155391092,GM,1,9.0,1.8610578620250595
17282,26,20,"[38.5, 19.5, 6.5]",19.87460691435179,4.299518922702944,GM,1,9.0,2.0572306430654663
17283,27,0,"[18.5, 28.5, 45.5]",20.46948949045872,0.36066683070865935,GM,1,3.0,0.12022227690288645
17284,27,1,"[46.0, 57.0, 29.5]",20.322401432901575,26.760306553659404,GM,1,21.0,2.440594380274176
17285,27,2,"[48.5, 13.0, 53.0]",20.223748416156685,10.19012298349999,GM,1,6.0,2.113199768958682
17286,27,3,"[16.0, 17.0, 11.0]",20.199009876724155,5.947528011895685,GM,1,12.0,1.4202344489070313
17287,27,4,"[40.0, 6.5, 29.5]",20.149441679609886,10.772319608693465,GM,1,15.0,2.233566357243065
17288,27,5,"[46.0, 42.5, 3.0]",20.12461179749811,10.52768169774619,GM,1,12.0,2.6395881647405433
17289,27,6,"[41.5, 31.0, 48.0]",20.12461179749811,9.264670358122075,GM,1,18.0,2.185977599194788
17290,27,7,"[40.0, 29.0, 59.0]",20.09975124224178,4.745060289796314,GM,1,3.0,2.86266761238898
17291,27,8,"[4.0, 49.5, 45.5]",20.049937655763422,8.603663660706388,GM,1,15.0,2.217471722686626
17292,27,9,"[41.5, 17.0, 10.5]",20.049937655763422,10.10615999464936,GM,1,12.0,2.496017350508643
17293,27,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.727615599608356,GM,1,6.0,0.7586334091791542
17294,27,11,"[34.0, 54.0, 29.5]",20.024984394500787,15.43531022767494,GM,1,15.0,1.8915251444403363
17295,27,12,"[47.5, 6.0, 19.0]",20.024984394500787,3.1752255362239126,GM,1,12.0,1.639033465498877
17296,27,13,"[23.0, 8.0, 54.0]",20.0,21.403537357761692,GM,1,18.0,2.0136743184024724
17297,27,14,"[42.5, 27.5, 12.0]",19.949937343260004,3.838480492913419,GM,1,12.0,2.067217773853033
17298,27,15,"[42.0, 20.5, 21.5]",19.949937343260004,12.185852004396168,GM,1,9.0,2.749931104057263
17299,27,16,"[3.5, 26.0, 35.5]",19.949937343260004,4.377334940256373,GM,1,9.0,1.464071009026981
17300,27,17,"[36.0, 44.0, 1.5]",19.924858845171276,2.2582251082251332,GM,1,3.0,1.0476911976912031
17301,27,18,"[24.0, 39.0, 19.0]",19.8997487421324,9.128983656438919,GM,1,15.0,1.3888368827221578
17302,27,19,"[48.5, 14.5, 7.5]",19.87460691435179,10.715490273632724,GM,1,9.0,1.3888609223368777
