,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
2554,166,0,GM,-3499.6022987665833,3063.233259506632,3424.3973983078704,[ 515.13836478 -293.72955975 -454.18238994],[ 513.69536424 -294.54966887 -459.73509934],[ 513.52903226 -297.52258065 -464.03870968],1356
2555,167,0,GM,-3435.1675371769084,2931.882242610203,3435.2018344557955,[ 551.81290323 -223.12258065 -459.63225806],[ 553.01398601 -218.78321678 -457.62937063],[ 549.8041958  -216.83216783 -454.1048951 ],1356
2556,168,0,GM,-3429.432972238236,2842.593259034079,3612.8526973725984,[ 437.2012987  -236.30519481 -491.85714286],[ 437.43949045 -233.31210191 -496.64968153],[ 438.87417219 -231.00662252 -500.41059603],1356
2557,169,0,GM,-3547.425190022335,2782.8403514863867,3552.0011026916422,[ 402.58974359 -260.02564103 -609.07051282],[ 400.83870968 -265.76774194 -607.3483871 ],[ 399.28671329 -268.87412587 -605.58741259],1356
2558,170,0,GM,-3572.4991280517092,2697.581082538334,3528.3246848491062,[ 556.94520548 -198.13013699 -461.89041096],[ 557.71612903 -201.25806452 -459.43870968],[ 553.31506849 -204.36986301 -457.93150685],1356
2559,171,0,GM,-3574.9114252426625,2789.2962597233645,3448.1507449481905,[ 522.41830065 -274.4248366  -465.78431373],[ 526.10666667 -275.3        -468.10666667],[ 529.02721088 -273.45578231 -468.10884354],1356
2560,172,0,GM,-3596.949841953407,2783.6028394772984,3470.2989647027075,[ 513.49285714 -260.06428571 -354.52857143],[ 513.91503268 -255.43407167 -353.84613453],[ 519.13245033 -254.64900662 -350.45695364],1356
2561,173,0,GM,-3523.7653413468433,2883.4463377885977,3553.6806367253644,[ 564.18867925 -223.79245283 -489.32704403],[ 564.80769231 -223.8525641  -483.94871795],[ 563.47682119 -225.36423841 -479.60927152],1356
2562,174,0,GM,-3576.5150385417296,3076.3715756814627,3439.196464143782,[ 545.85185185 -276.00617284 -476.41975309],[ 549.42176871 -275.52380952 -474.47619048],[ 550.38       -274.72666667 -469.62666667],1356
2563,175,0,GM,-3589.3381612401386,2983.248603907976,3403.2231102511355,[ 419.00657895 -258.25657895 -595.88157895],[ 421.37254902 -254.26797386 -592.39869281],[ 424.87662338 -250.25324675 -591.5974026 ],1356
2564,176,0,GM,-3624.5079592682823,3008.663468140372,3359.764174911847,[ 518.06711409 -282.66442953 -433.20134228],[ 523.82389937 -284.51572327 -434.6918239 ],[ 527.53459119 -283.35849057 -438.49685535],1356
