,Lambda,Perist,speed,persistance,global_order,lcl_order
46,100,0.7,3.4439194566535876,0.010064647889476266,5.366076648319557,3.670468024371017
47,20000,0.001,2.662322025147068,0.020713253368440716,4.126548067034894,4.784277242480122
48,20000,0.3,3.087953190931963,0.0011096589139897577,4.792046175503555,1.8405387848417047
49,20000,0.9,3.643541146242996,0.02858295636763551,5.600048277320384,1.0678357499741016
50,10000,0.6,2.931946599158674,0.011455554269125487,4.560930849075018,0.0
51,500,0.7,3.5318388907087215,0.008760818712640018,5.759122065975862,3.786975725823309
52,10000,0.2,3.8634435450427267,0.012149461204556698,5.990317867324947,5.3701769063949625
53,5000,0.4,3.346438426877866,0.010678037460888622,5.2724055429088885,3.7594167521410053
54,5000,0.6,3.768480290890065,0.0066420070619705885,5.863132345636467,2.3166411635047925
55,2000,0.5,1.8059391477626416,0.005244562946666999,2.776537205144359,1.1816880564127779
56,10000,0.8,3.3712555631856964,0.0027639612399125123,5.259448614268785,5.017549510332654
57,5000,0.1,4.500056250880209,0.006082944881819195,6.974258716569651,7.7839035398228384
58,1000,0.6,3.0200177863497926,0.009170851574616052,4.647034395439503,4.430563651025987
59,100,0.4,3.548330926985452,0.007272657815567421,5.611128224914461,1.9647911925698016
60,5000,0.2,2.438819998272474,0.014680584347030868,3.7151233468037472,3.104222483389153
61,20000,0.6,3.6223154220432168,0.017058258693093614,5.55544185159765,
62,2000,0.9,4.312767843426162,0.02281953314250267,6.522828655096504,1.0342142161385708
63,2000,0.001,3.6009704246018437,0.005096477955376781,5.494419629427429,
64,1000,0.5,4.3053365090933795,0.0063357670490698835,6.569738070675202,7.2103267498561525
65,1000,0.3,4.6826132981699855,0.006657916832078432,7.178058961372629,
66,10000,0.1,3.493551324476558,0.0083247360884981,5.432675448912609,5.099355988613449
67,2000,0.9999999999,3.4170134644138295,0.015981895946083718,5.136406578601004,2.9724228655066702
68,1000,0.9,3.03747916493419,0.0057821335075707945,4.685372339646199,1.1520990970765086
69,10000,0.5,3.1219851581702303,0.006943462206254178,4.730067604798301,4.655659027975115
70,50,0.5,3.3503615620771314,0.01434748079619148,5.194906576092927,
71,20000,0.5,4.345242336972314,0.0016942662781793255,6.577836307118811,6.036157472199152
72,10000,0.3,2.923489126884677,0.009201323953210978,4.49921116992487,2.4236718537647186
73,50,0.9,2.7251819900644043,0.017915353006759806,4.3949420787241085,1.6278650826085326
74,50,0.9999999999,3.6901721270059022,0.005321872599317868,5.652478191433741,0.8296882186170456
75,20000,0.2,3.630732305049641,0.014221329451227092,5.861711788393715,
76,2000,0.8,3.0015407947770054,0.0005317482786379243,4.7377364646310705,0.8651827381699266
77,500,0.2,1.911655914855461,0.004971088880453276,2.984045412472617,
78,1000,0.1,3.0182102567877367,0.01631448980415723,4.51735380457486,1.8452619763022502
79,5000,0.3,2.91666437150682,0.005208356234000122,4.662886779398741,3.4761412626059656
80,500,0.3,4.615671535333151,0.012147483753133743,6.899750800045123,6.127476992853888
81,1000,0.7,3.722188789737051,0.0054458488297814255,5.624782654025446,5.2357473719066006
82,10000,0.9999999999,3.5537277295739504,0.002411243356103647,5.40533476408283,3.7896414521567863
83,100,0.2,2.7492236591486514,0.006754443688074023,4.74175779298769,1.2669440482622092
84,50,0.4,2.905539479287412,0.021216418338037925,4.727103124440347,3.3917232875019505
85,1000,0.4,2.653854875846534,0.005306419072249016,4.163349020283566,0.0
86,50,0.7,2.2001391764724376,0.009636431401314321,3.212086371922672,
87,100,0.1,3.7566939433135995,0.017530829613670407,5.69242986555026,3.198901058967849
