,Lambda,Max_act,speed,persistance,pooled_pers,sum_order,global_order,lcl_order
103,400,1.0,2.8711929947980988,100.0,100.0,4149.727333568377,8.530315943703203,0.6329912383662796
104,800,0.8,3.7357959285146034,3.1530634874597645,3.1293615510315163,939.2058419917906,12.047614208474027,0.540583882021965
105,10000,0.7,5.767114144008551,3.1506728592514817,3.052218254046756,442.82839192755705,17.220463545474257,0.8460169722456483
106,100,0.7,1.3885055816534915,0.8740924200467679,0.873516338929506,113.4337027844699,4.344971792193194,0.1936463085033163
107,50,1.0,0.8079685706288532,100.0,100.0,1067.6330626307233,2.6912690532342,0.16018127777633226
108,100,0.8,1.4196134774804787,1.0864183761856547,1.0803081584006422,84.69963379736389,4.4331425452466675,0.18357007280209978
109,100,0.1,1.3606678683970574,0.6924043189113648,0.6914511744540056,174.42034503978738,4.188788780235957,0.18929981793167597
110,300,1.0,2.5247879636591595,100.0,100.0,3452.539723604117,7.3382640461952375,0.6463784421106615
111,700,0.9,3.5907009204610807,6.31337675646494,6.240423558406343,751.6043165153828,10.520011493356149,0.5374320482804746
112,500,0.2,3.0964110341271254,1.4132440674388786,1.4076752739500744,198.0600487216045,8.619332239532977,0.41316105960530597
113,600,0.2,3.341696569110286,1.5276591444071694,1.5251955996123763,572.174347395038,10.00903252652175,0.48701744564254373
114,5000,0.3,5.382902698929956,1.848422641597201,1.8471965121865495,1274.4754537219292,15.168852972501847,0.7683575027788543
115,400,0.6,2.8719396395560404,1.6268381390038673,1.6192841658796162,151.90034088671348,8.797774214068589,0.39990142427430947
116,2500,0.9,5.049234051590823,8.40800308718628,8.397341028238293,1278.6086574300723,13.58003365296989,0.7053100509548141
117,900,1.0,3.8738802903578806,100.0,100.0,5146.235567369452,10.612390261120995,0.7910833068460982
118,400,0.1,2.862828309169191,1.2597383311901789,1.257302105777114,55.10827630278754,8.660141344577122,0.394262168018059
119,900,0.3,3.831903343267772,1.7261721472998144,1.7212546988214026,678.1901686360485,11.651933114568362,0.5734726937618372
120,200,0.9,2.1158346907721945,3.001344260428458,2.9805938431352943,273.1155924636153,6.4076348867319455,0.3199104720804427
121,200,0.7,2.056236530681292,1.363489182273884,1.3604435800018608,255.696694132525,6.082451624540901,0.29894171016104026
122,20000,1.0,5.918860562452954,100.0,100.0,8680.570526709125,17.838066912694334,1.366400366970657
123,2500,0.5,4.958772547901445,2.1593659450164084,2.1517214011784125,976.2991845548338,15.359582986824833,0.7290439315076493
124,400,0.8,2.908575885406762,2.4649876874254018,2.4649983542943814,446.318597623498,8.248355375894663,0.415212451197349
125,700,1.0,3.5695982180754027,100.0,100.0,4685.318380958547,9.722499640291995,0.7663796163841851
126,2500,0.7,4.985651262350501,2.7749632818466754,2.763964083158598,1021.8271105305057,14.08008726572897,0.6738137176566757
127,300,0.2,2.5083584037589977,1.1460045103687195,1.14348760644491,181.73026414559982,7.949265276949328,0.4063950648271578
128,700,0.1,3.52699428186329,1.5556384781034485,1.5555060754883976,699.8667129943867,10.73658082089137,0.509216905018936
129,100,1.0,1.3367006084925686,100.0,100.0,1156.2970322517476,2.75425510280994,0.2636656330793495
130,10000,1.0,5.685608467714422,100.0,100.0,11285.863673037886,22.859778531647823,1.4728265281746464
131,700,0.7,3.5937276507305156,2.3416062586057285,2.335048076701961,594.3496465574163,10.289185858807581,0.5082163405465356
132,2500,1.0,4.962735385162512,100.0,100.0,3897.367785174217,8.287670049518661,1.2756369715794214
133,1000,0.2,3.981915058981083,1.7039294530643374,1.7000603912436412,536.2708162497357,11.465595940392914,0.5713895191122075
134,800,0.5,3.707049066675354,1.8628231661526615,1.860157859751521,521.2598126316315,11.140205942315538,0.5213287804475301
135,100,0.9,1.442631268413313,1.8177407024373031,1.81642818755855,303.4747962928977,4.8725639880041385,0.19962753860727417
136,50,0.3,0.8370763330177365,0.5688690222026803,0.5685693110186668,77.62278357924627,2.811584571321163,0.11102383867378036
137,10000,0.9,5.838052961468663,17.364947389605383,16.44999809736706,1510.7882214130634,16.76291301831322,0.9209225505076176
138,20000,0.1,5.784985214981839,1.6745624885067503,1.6722809790982551,979.2582270345716,16.899622178948952,0.7974775186792834
139,900,0.8,3.897018716638275,3.343877017186963,3.333073125038018,412.7259270279649,10.971985043522391,0.5366160239059318
140,1000,0.5,3.962063479074513,2.011306523948142,1.9927896940510894,455.1173418880747,11.38524086721566,0.5598558253104283
141,900,0.9,3.903713604476165,6.983617105186326,6.861558776377139,1194.8929221991689,10.462298341971053,0.5557286052925552
142,200,0.6,2.064769575641103,1.2079813366241658,1.2070465321603516,187.80696387388605,6.228847103036292,0.28750433513722484
143,5000,0.5,5.42862244216969,2.2260172522630475,2.21231505640551,340.3478980360595,16.115704695000403,0.7723767489544018
144,700,0.8,3.5960183845581923,3.0982227354801277,3.0818878320189618,170.81707542836094,10.816286090092644,0.5308953030490058
145,1000,1.0,4.021016191683452,100.0,100.0,3748.338545605611,7.916533962449798,0.7611904667543437
146,900,0.6,3.8673103632087904,2.148008553868096,2.1374708815415,313.59886468621215,11.33640602139423,0.570684734090905
147,600,1.0,3.374082430906685,100.0,100.0,8598.644703496166,17.401370543203146,0.762106805004428
148,5000,1.0,5.3959822543376035,100.0,100.0,11088.890337519028,22.38074202227928,1.1842425089902333
149,500,0.4,3.111759826210049,1.5191572544415153,1.5154985495117934,273.7981285272798,9.44156679892542,0.42139501215493286
