,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
22,1000.0,0.5,0,3.5798187148242597,1.5453187165829512,2.56795315997261,11.698053535615879
23,1000.0,0.5,1,3.5916747609968263,1.5192336058118496,2.119805546443659,9.65730631477339
24,400.0,0.30000000000000004,0,1.563164607509326,1.0017407158016167,1.8924074294797366,11.691244697941075
25,400.0,0.30000000000000004,1,1.5704432607820336,1.0172170831954794,1.5267646599466367,10.065659211519353
26,800.0,0.30000000000000004,0,2.981537611148784,1.3851234190442459,2.2624675543165775,11.650042218753768
27,800.0,0.30000000000000004,1,3.0130293455519324,1.3839526636356188,1.8336220468841196,9.668718477541143
28,400.0,0.1,0,1.54629102469909,1.0092100488430076,1.8828336243752148,11.687998151455037
29,400.0,0.1,1,1.549967703916126,1.0148379099957632,1.4435184391398772,9.704091177023482
30,800.0,0.7000000000000001,0,3.103892088284496,1.4073424492459743,2.5737677285217266,11.711057571725036
31,800.0,0.7000000000000001,1,3.1151017327447774,1.3974174307489438,2.064574883609843,9.65170208107548
32,400.0,0.7000000000000001,0,1.6373836564095139,1.0028970115453466,1.9578453248510252,11.68361640394679
33,400.0,0.7000000000000001,1,1.642537327834196,0.9967589518441716,1.5228450319107214,9.696523763018666
34,800.0,0.9,0,3.2514977051462086,1.4446518110159607,3.3529126700953586,11.59234910719922
35,800.0,0.9,1,3.2680683798823047,1.4315670384496877,3.4442747409722165,10.709865320147227
36,600.0,0.30000000000000004,0,2.3054096944206517,1.2035847890836011,2.0569427281449046,11.672167216650022
37,600.0,0.30000000000000004,1,2.308494686769306,1.1935108582231344,1.615055298647663,9.687797128678756
38,600.0,0.1,0,2.2803782279798486,1.1980428913838381,2.0343918206074676,11.674769811976164
39,600.0,0.1,1,2.280528199421222,1.1999621893376722,1.5908987463027735,9.69005936466358
40,800.0,0.4,0,3.017099028715982,1.4162286246833975,2.304053968579798,11.64607112966605
41,800.0,0.4,1,,,,
42,1000.0,0.30000000000000004,0,3.546516713567591,1.5280993377824457,2.490263490370312,11.679410191593524
43,1000.0,0.30000000000000004,1,3.5418168515311654,1.5036611923690124,2.046403246872596,10.017139220064099
44,600.0,0.2,0,2.2843711534757642,1.1950893867289731,2.0375450840602447,11.67435049231247
45,600.0,0.2,1,2.302395806953898,1.2034671795346323,1.6076563647082516,9.688543529121356
46,600.0,0.5,0,2.3445119245177715,1.2139150339041136,2.0977400917763553,11.667663912373255
47,600.0,0.5,1,2.3516972678514954,1.203803964665436,1.662148774381817,9.68354777416598
48,800.0,0.8,0,3.1466352480835615,1.4089487596542567,2.6658720560630824,11.608537859471406
49,800.0,0.8,1,3.1609361293461538,1.4035388466555099,2.3770436649213877,9.903108201899746
50,200.0,0.1,0,0.8259610762522236,0.7685732033065105,1.7912798045948284,11.703074440046084
51,200.0,0.1,1,0.8250662455439334,0.7633663944246789,1.423953844634904,10.057173892377447
52,400.0,0.2,0,1.5521385455498138,1.0019773848168194,1.886892570660362,11.69188918912016
53,400.0,0.2,1,,,,
54,200.0,0.6000000000000001,0,0.8589247623699265,0.7323410557814218,1.8024321000838432,11.701761158434449
55,200.0,0.6000000000000001,1,0.862544519965268,0.7488872177972905,1.436831389466947,10.074626422364611
56,1000.0,0.4,0,3.575750300097009,1.5328124142096085,2.5060668647859936,11.626204914341601
57,1000.0,0.4,1,3.5804848206107436,1.5257962311235032,2.040689547459208,9.653429712672692
58,1000.0,1.0,0,2.1166597173304673,1.7748040857638596,14.196766393881783,27.916206951332356
