,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
27,1200.0,50.0,1,4.143847503669363,2.200128773120589,2.589000080210991,8.81175852298188
28,2000.0,10.0,0,1.824880170782914,3.663611997543877,1.153996103032207,8.519975984720727
29,2000.0,10.0,1,1.7913280630345654,3.5850701991462124,1.2252317455723307,8.926066395081573
30,400.0,70.0,0,1.9328464102873322,1.2582057332397665,2.4183878034789243,8.457276427131049
31,400.0,70.0,1,1.9348299915132645,1.2501836689666106,2.761195657074266,9.320817741746861
32,1200.0,90.0,0,3.0967861979476208,2.0398470156633075,2.696231263166983,8.400839788394697
33,1200.0,90.0,1,3.0960790345637355,2.0314317686715775,2.7365462061308325,8.799708581624373
34,2000.0,90.0,0,3.7966445007323952,3.224423699041034,2.580137029510144,9.213643421338952
35,2000.0,90.0,1,3.786043789468036,3.1519757945859235,2.610891202487665,9.205474763555882
36,1200.0,100.0,0,2.940435301570461,2.020527725043148,2.8816245755775514,8.609261615983877
37,1200.0,100.0,1,2.916242980930767,1.9127705979143201,2.9049330384525174,8.856230838360112
38,1200.0,20.0,0,2.3387323462686602,2.4098431766676103,1.378318819933021,8.919250512689835
39,1200.0,20.0,1,2.326946950271972,2.3689175389620183,1.4511462315434758,9.305469918538735
40,400.0,30.0,0,0.4272983228128416,0.611849169457604,1.2118124382691975,8.933914378503347
41,400.0,30.0,1,0.4251423608096217,0.6688016102839547,1.2076572042335825,8.927641484372524
42,2000.0,20.0,0,6.4031006210238175,3.798081250191909,1.47397017362184,8.492519448818403
43,2000.0,20.0,1,6.383347874244181,3.783302892756335,1.5436738096770501,8.897412482606967
44,1600.0,60.0,0,4.294364323589642,3.0311558358881134,2.491426312770832,8.456227084023377
45,1600.0,60.0,1,4.2981469029969706,3.127307784710119,2.461380971630205,8.82048455492055
46,1200.0,40.0,0,4.476567696798113,2.0683667193897355,2.971245896846379,10.931445011812677
47,1200.0,40.0,1,,,,
48,800.0,80.0,0,2.8379517188651557,1.371330279178394,3.5138831007229143,11.041324522958812
49,800.0,80.0,1,,,,
50,800.0,70.0,0,3.0380386500550314,1.4010315394353594,2.7879916302327197,8.397226775572339
51,800.0,70.0,1,3.0328040986356437,1.4127433564422953,2.854035425214145,8.799433271143519
52,2000.0,50.0,0,5.18268154481525,3.9484320042352823,2.1848039673953523,8.437779886918428
53,2000.0,50.0,1,5.186809520398273,3.9932328434166258,2.2769674030969673,8.837913064411016
54,1200.0,70.0,0,3.549554784010289,2.202887722688826,2.7948182540890505,8.690205268740144
