,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
51,3000.0,60.0,1,4.465668218102342,1.0066072173966396,66.06441070326969,32.79383315444249
52,1600.0,50.0,0,4.361049795843078,0.8600078773662497,82.70872854293648,23.74856833310623
53,1600.0,50.0,1,4.363810274496059,0.8226599943628219,76.55627121944083,24.727158787045635
54,3800.0,70.0,0,4.443741208883949,1.028459174007856,80.60874340642461,26.6028563490345
55,3800.0,70.0,1,4.445449007072746,1.0544953121648626,82.77281420353887,27.071006748744892
56,1600.0,20.0,0,6.363471947939118,1.6691535492518512,1.0445762639601994,0.09254482107406947
57,1600.0,20.0,1,6.375996206894299,1.707958458319173,1.0464992706391547,0.09432672769591875
58,3400.0,50.0,0,4.971062838920429,1.1558036401774012,70.10397185661657,29.81619312987224
59,3400.0,50.0,1,4.985253592237318,1.1843331904530345,69.59402991105469,31.34600852052031
60,3400.0,20.0,0,8.750177572201647,4.059664556938979,0.8592173843010006,0.062386796911713234
61,3400.0,20.0,1,8.747078705777634,4.075211232126384,0.8609844437971161,0.05930099877975895
62,3200.0,40.0,0,5.520611574586503,1.4512243110914282,45.668619501680176,30.89982561283058
63,3200.0,40.0,1,5.538312276846717,1.4233303517308789,70.68193998143292,30.510013771864614
64,2000.0,100.0,0,3.214705164910648,0.8663536894657007,48.16663404913491,36.14058172323513
65,2000.0,100.0,1,3.236089047411768,0.8503416652384749,58.18068740983498,37.689628766417755
66,400.0,10.0,0,0.629117939125643,0.5515269272617082,0.43529504177381995,0.016312807725348818
67,400.0,10.0,1,0.6332318822376407,0.607331177010872,0.434039546135472,0.016020067564434123
68,3600.0,90.0,0,3.936854028986051,0.9498227665299205,78.41292539629049,28.352861613318282
69,3600.0,90.0,1,3.9888709736383747,0.9522904389333126,91.6212647957646,19.702330375696533
70,2400.0,70.0,0,3.9724775706677775,0.9697464395887258,53.36421010554642,33.40899176194388
71,2400.0,70.0,1,3.9626717633000723,0.8901543687082766,63.23798332841888,31.854290802924744
72,3600.0,50.0,0,5.03499097398106,1.171176638213564,73.13461806137079,31.002193058226528
73,3600.0,50.0,1,5.035992957111767,1.2321716805213645,76.77118851452201,27.978423263866407
74,2600.0,50.0,0,4.7542284765096054,1.0598668875395627,70.00815785853145,31.40590876713318
75,2600.0,50.0,1,4.723371723507686,1.0469644084394463,65.56918055739703,30.85064945064081
76,2600.0,90.0,0,3.620527626133748,0.9116656009994312,52.66642027256162,35.08263862823678
77,2600.0,90.0,1,3.631928121783493,0.9200103916590039,63.047159616833184,33.357898094180825
78,1600.0,60.0,0,3.9370918957355343,0.8256426844769084,63.32217706932546,29.651182764473447
79,1600.0,60.0,1,3.9361557067611534,0.8467970570677367,75.22574190495736,29.47728614048668
80,4000.0,100.0,0,3.9060007454789307,0.9469194966107012,87.28091702245985,22.415224454361034
81,4000.0,100.0,1,3.935004648688776,0.9137185597282274,96.45929889955107,13.328678594098946
82,3800.0,50.0,0,5.095033404797233,1.2665704183582855,80.68294816538547,27.31042485577019
83,3800.0,50.0,1,5.116801561992597,1.2072392234295921,78.73317308957282,28.266613844128134
84,3800.0,90.0,0,4.051497391615992,0.9556465764581157,93.71417139355613,18.23249923256614
85,3800.0,90.0,1,4.031784747556535,0.9349694729149027,88.94412985986213,21.12347714596648
