,sigma,omega,std_sigma,std_omega,params,type,CUMUL_STD
73,5.018887829042804,-0.28587645107875287,0.32338389761593883,0.09937481658902375,100N_0.3125V/E,WS,0.8835932296051381
74,5.370050328510218,-0.08592561903223445,0.18445577591354037,0.05810719669999926,100N_0.3125V/E,WS,0.5100223405948355
75,5.071650255689803,0.08846209926072804,0.10363016877823697,0.05396004353849049,100N_0.3125V/E,WS,0.46104656770458224
76,4.19635875182714,0.3276729699328459,0.35444050470618804,0.07884059837155455,100N_0.3125V/E,WS,0.7148415188497191
77,2.8304761452864433,0.5934566167867887,0.2522428705996526,0.04074702448201152,100N_0.3125V/E,WS,0.3744571786338554
78,1.2431531331803074,0.8296105844812413,0.17285141744974056,0.0242731704378207,100N_0.3125V/E,WS,0.22123682707111725
79,0.8096042737072631,0.8904207726914795,0.15559470109355988,0.01840599431974672,100N_0.3125V/E,WS,0.1685515143356998
80,2.6201795196013387,-0.7173247107884428,0.3120076694340652,0.044816031017055766,100N_0.375V/E,WS,0.4191690246870064
81,3.315530348666943,-0.6162217603052703,0.3254369332720287,0.04545397210360797,100N_0.375V/E,WS,0.42687313360473256
82,3.6811162924927485,-0.5262275649814244,0.46605839902136437,0.08873304098962011,100N_0.375V/E,WS,0.8177840555641175
83,3.7982293906912865,-0.4887967368794682,0.37571331088433485,0.07065603326779814,100N_0.375V/E,WS,0.6491011157937899
84,4.348407051368587,-0.27527125106127104,0.1967146887052835,0.06849789162543399,100N_0.375V/E,WS,0.6001975460326343
85,4.239295969026891,-0.048122178826027685,0.28753763050312864,0.10846116017065013,100N_0.375V/E,WS,0.9544856113675414
86,3.772232294554814,0.16785458751582646,0.5274344405979746,0.11929197649827855,100N_0.375V/E,WS,1.0873187861536537
87,2.5612470743152835,0.4498995447931261,0.3228272156491878,0.047766640735835496,100N_0.375V/E,WS,0.4460306724979146
88,1.0353604727967731,0.7027741076912186,0.2760063676003847,0.037470454560298884,100N_0.375V/E,WS,0.3507463307005908
89,0.49581885631514194,0.786023534307715,0.26223906183841394,0.03719222031183465,100N_0.375V/E,WS,0.3460335442740343
90,4.594548302713582,-0.35066543409451134,0.2079893477302551,0.03854477461886858,176N_0.125V/E,WS,0.3482217848236515
91,4.773323527755721,-0.3001156687730586,0.15268853674119406,0.03790187019903717,176N_0.125V/E,WS,0.3333153646456182
92,4.964758078586181,-0.23064604812403497,0.14632363454722178,0.04708214180549672,176N_0.125V/E,WS,0.4100454037304106
93,5.103272750668961,-0.11227116530359076,0.056852708794072164,0.024608360399137125,176N_0.125V/E,WS,0.20424178973901794
94,4.9738266108128055,0.009817407748000072,0.060340295686610965,0.020249088862738143,176N_0.125V/E,WS,0.16788591854466178
95,4.511902525909925,0.16565855658394074,0.04301246124238989,0.013917199693517835,176N_0.125V/E,WS,0.11124920810979971
96,3.555683993820319,0.3883243289654922,0.08182314254816295,0.01631528335299511,176N_0.125V/E,WS,0.13821387511991468
97,2.402439961061359,0.6190054800093887,0.10559806061573282,0.01759970868253987,176N_0.125V/E,WS,0.1531671985205637
98,1.244851546860105,0.8286601482081576,0.03932534737085377,0.00632348946958879,176N_0.125V/E,WS,0.04624904055689277
99,0.93562142347958,0.8815187096131474,0.022479115303926663,0.0024841120374823333,176N_0.125V/E,WS,0.010822977018030196
100,5.074863575839977,-0.49431962370215937,0.34705872466099963,0.03825163754071439,176N_0.1875V/E,WS,0.36951848876959004
101,5.659477148960595,-0.4084534617434016,0.30874375533998366,0.04669012972060686,176N_0.1875V/E,WS,0.43449706421396267
102,6.16133732510769,-0.29493088861509814,0.20442055930188308,0.045645043117073486,176N_0.1875V/E,WS,0.40779839703242926
103,6.479763808477111,-0.21102202368063705,0.12661132813339115,0.036101998749691395,176N_0.1875V/E,WS,0.31359905285214706
104,6.539737167516014,-0.05650161463428908,0.08257130801170398,0.04135577377882303,176N_0.1875V/E,WS,0.35060270401961724
105,6.001249809263934,0.14055680302529322,0.058812554366604465,0.01777785366881704,176N_0.1875V/E,WS,0.146676731806012
106,4.896622776638269,0.3680639945740197,0.18686430084139635,0.028402917161653832,176N_0.1875V/E,WS,0.25863974945804563
107,3.157158670920043,0.6246301793480792,0.2718640868602286,0.03483478685899785,176N_0.1875V/E,WS,0.32769619887361384
108,1.3484814187633067,0.8461617698830279,0.08383789424216646,0.010393148383599886,176N_0.1875V/E,WS,0.08835820724785962
109,0.8678835009230907,0.8999218235555922,0.05130139263755572,0.005544097769802331,176N_0.1875V/E,WS,0.04169032792005838
110,6.256553646948554,-0.517245896715126,0.5969634915638197,0.05882976033904849,176N_0.25V/E,WS,0.5866881294326671
111,6.65860358444917,-0.45907864594703424,0.5028375033228147,0.05329148111296035,176N_0.25V/E,WS,0.5236457591705862
112,7.657403623503596,-0.33636168399806693,0.3503362604398931,0.05593211786083356,176N_0.25V/E,WS,0.519951206516577
113,7.975106797336745,-0.24961812166046743,0.21790881938610823,0.050240569720987914,176N_0.25V/E,WS,0.44905988563382476
