,FILE,VOLUME
139,VOLLAMBDA_3684MAX25062.pkl,9.864568710327148e-05
140,VOLLAMBDA_3684MAX3150.pkl,0.00025135278701782227
141,VOLLAMBDA_3684MAX3151.pkl,0.00023788213729858398
142,VOLLAMBDA_3684MAX3152.pkl,0.0002695322036743164
143,VOLLAMBDA_3684MAX390.pkl,1.5914440155029297e-05
144,VOLLAMBDA_3684MAX391.pkl,1.71661376953125e-05
145,VOLLAMBDA_3684MAX392.pkl,1.8715858459472656e-05
146,VOLLAMBDA_3684MAX49990.pkl,0.00011235475540161133
147,VOLLAMBDA_3684MAX49991.pkl,0.00011414289474487305
148,VOLLAMBDA_3684MAX49992.pkl,0.00011289119720458984
149,VOLLAMBDA_3684MAX6290.pkl,0.00012570619583129883
150,VOLLAMBDA_3684MAX6291.pkl,0.00012153387069702148
151,VOLLAMBDA_3684MAX6292.pkl,0.00011259317398071289
152,VOLLAMBDA_3684MAX790.pkl,0.0007159113883972168
153,VOLLAMBDA_3684MAX791.pkl,0.0007179379463195801
154,VOLLAMBDA_3684MAX792.pkl,0.0007127523422241211
155,VOLLAMBDA_499MAX100.pkl,1.0132789611816406e-05
156,VOLLAMBDA_499MAX101.pkl,1.0788440704345703e-05
157,VOLLAMBDA_499MAX102.pkl,9.655952453613281e-06
158,VOLLAMBDA_499MAX12560.pkl,1.4841556549072266e-05
159,VOLLAMBDA_499MAX12561.pkl,1.4543533325195312e-05
160,VOLLAMBDA_499MAX12562.pkl,1.5735626220703125e-05
161,VOLLAMBDA_499MAX1580.pkl,1.1980533599853516e-05
162,VOLLAMBDA_499MAX1581.pkl,1.2040138244628906e-05
163,VOLLAMBDA_499MAX1582.pkl,1.1801719665527344e-05
164,VOLLAMBDA_499MAX190.pkl,1.0848045349121094e-05
165,VOLLAMBDA_499MAX191.pkl,1.0251998901367188e-05
166,VOLLAMBDA_499MAX192.pkl,1.0311603546142578e-05
167,VOLLAMBDA_499MAX20570.pkl,1.627206802368164e-05
168,VOLLAMBDA_499MAX25060.pkl,1.627206802368164e-05
169,VOLLAMBDA_499MAX25061.pkl,1.7762184143066406e-05
170,VOLLAMBDA_499MAX25062.pkl,1.5854835510253906e-05
171,VOLLAMBDA_499MAX3150.pkl,1.2814998626708984e-05
172,VOLLAMBDA_499MAX3151.pkl,1.33514404296875e-05
173,VOLLAMBDA_499MAX3152.pkl,1.2814998626708984e-05
174,VOLLAMBDA_499MAX3480.pkl,1.33514404296875e-05
175,VOLLAMBDA_499MAX3481.pkl,1.2576580047607422e-05
176,VOLLAMBDA_499MAX390.pkl,1.1026859283447266e-05
177,VOLLAMBDA_499MAX391.pkl,1.0907649993896484e-05
178,VOLLAMBDA_499MAX392.pkl,1.0728836059570312e-05
179,VOLLAMBDA_499MAX49990.pkl,1.7642974853515625e-05
180,VOLLAMBDA_499MAX49991.pkl,1.8775463104248047e-05
181,VOLLAMBDA_499MAX49992.pkl,1.8596649169921875e-05
182,VOLLAMBDA_499MAX590.pkl,1.0728836059570312e-05
183,VOLLAMBDA_499MAX591.pkl,1.1086463928222656e-05
184,VOLLAMBDA_499MAX6290.pkl,1.3470649719238281e-05
185,VOLLAMBDA_499MAX6291.pkl,1.436471939086914e-05
186,VOLLAMBDA_499MAX6292.pkl,1.329183578491211e-05
187,VOLLAMBDA_499MAX790.pkl,1.138448715209961e-05
188,VOLLAMBDA_499MAX791.pkl,1.1205673217773438e-05
189,VOLLAMBDA_499MAX792.pkl,1.1682510375976562e-05
190,VOLLAMBDA_5139MAX100.pkl,1.2159347534179688e-05
191,VOLLAMBDA_5139MAX101.pkl,1.1920928955078125e-05
192,VOLLAMBDA_5139MAX102.pkl,1.239776611328125e-05
193,VOLLAMBDA_5139MAX12560.pkl,0.00015270709991455078
194,VOLLAMBDA_5139MAX12561.pkl,0.00019890069961547852
195,VOLLAMBDA_5139MAX12562.pkl,0.00014793872833251953
196,VOLLAMBDA_5139MAX1580.pkl,0.0004648566246032715
197,VOLLAMBDA_5139MAX1581.pkl,0.0005222558975219727
198,VOLLAMBDA_5139MAX1582.pkl,0.0005280375480651855
199,VOLLAMBDA_5139MAX190.pkl,1.4603137969970703e-05
200,VOLLAMBDA_5139MAX191.pkl,1.5795230865478516e-05
201,VOLLAMBDA_5139MAX192.pkl,1.5616416931152344e-05
202,VOLLAMBDA_5139MAX25060.pkl,0.0001310110092163086
203,VOLLAMBDA_5139MAX25061.pkl,0.00010079145431518555
204,VOLLAMBDA_5139MAX25062.pkl,0.00011271238327026367
205,VOLLAMBDA_5139MAX3150.pkl,0.00029224157333374023
206,VOLLAMBDA_5139MAX3151.pkl,0.0002643465995788574
207,VOLLAMBDA_5139MAX3152.pkl,0.00031059980392456055
