,Cellid,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
19747,69,11.349962693262825,84.83505671902056,-0.0015697384317415225,8.077596673061934e-11,6000,683,0.5163097240612263
19748,206,97.15266520048704,850.3972099158605,-0.0011916847002333645,1.7574567827826234e-05,4000,577,0.5413780967930113
19749,203,34.50172299612891,29.49480501763927,-0.00045617549913374976,0.030054375757654166,8000,366,1.3470713714141458
19750,163,28947.247935362786,36225.68543952683,-0.0020147470415173355,2.41437228593815e-18,7000,261,1.4069882430633258
19751,56,0.0,0.0,,,7000,1000,0.0
19752,30,0.5435740365809681,36639.860885512935,-0.007344487628163026,0.05471911400921638,2000,50,0.0016757648925070294
19753,36,60.17676777376812,179.05309041100963,-0.0006081945049144975,0.02092174214035464,5000,472,0.8644131530329859
19754,139,0.0,0.0,,,3000,2000,0.0
19755,152,0.0006679164442264424,4.908723193508942,,,3000,50,0.0004011488702886374
19756,214,5.363492585565581,88.53019748516301,0.00015639760899923536,0.9504059259191194,1000,894,0.07073895359446022
19757,179,36.024293796712534,43.81037585784537,-0.000417934833507472,0.04615847455223181,8000,3000,0.7561356573983975
19758,63,67.55372891046765,474.19025411565127,-0.0022968852330355932,7.782954350437515e-18,10000,894,0.5827169402764076
19759,113,29.352451795227765,154.08819339974877,-0.0006182416102258847,0.006045641332958281,6000,2000,0.5105763770964961
19760,184,29.75332464611019,968.6060951958542,-0.0009916733702556746,5.390887507890644e-05,8000,5000,0.22667211375486815
19761,194,0.03528705676342852,46.66263703850609,0.0036022473792550525,0.9735195463330716,3000,683,0.004437231279913907
19762,65,162.05370188841283,631.7581810131294,-0.000642890294675172,0.017723609317008143,3000,155,0.7326070106157894
19763,211,112.75297664539995,9716.765817943842,0.004678298407440326,0.6296418667515729,1000,472,0.015052362892325904
19764,101,0.0,0.0,,,4000,261,0.0
19765,164,2395.703733130793,33478.16495603957,-0.002060457905628711,1.0142244639886737e-18,2000,366,0.40008910882602056
19766,76,0.0,0.0,,,7000,2000,0.0
19767,99,4.813416810036819,6.480418216801163,-0.0021134262846576168,7.570988359940492e-21,4000,577,0.6030208179343479
19768,203,379.91948860944404,654.5218598082264,-0.0015945947773106299,7.030382750610723e-14,9000,155,1.2334242990618418
19769,19,15.014355250878072,159.1870579412986,-0.0017579157737885739,4.987104285874776e-11,4000,472,0.44010623572358043
19770,155,32.76528557496438,112.25090091316183,-0.0009673972064361544,0.00015401590221687363,9000,366,0.8049266903380852
19771,66,3010.2350949239794,19566.268543037895,-0.0026831954101924206,3.4125071029536554e-16,7000,788,0.5768162636407038
